time,density,nonezero,
54,0.2,0.165,
55,0.2,0.175,
56,0.2,0.2,
57,0.2,0.155,
58,0.2,0.19,
59,0.2,0.205,
60,0.2,0.195,
61,0.2,0.16,
62,0.2,0.225,
63,0.2,0.215,
64,0.2,0.18,
65,0.2,0.235,
66,0.2,0.185,
67,0.2,0.215,
68,0.2,0.185,
69,0.2,0.165,
70,0.2,0.215,
71,0.2,0.23,
72,0.2,0.17,
73,0.2,0.255,
74,0.2,0.18,
75,0.2,0.245,
76,0.2,0.195,
77,0.2,0.175,
78,0.2,0.265,
79,0.2,0.24,
80,0.2,0.23,
81,0.2,0.185,
82,0.2,0.165,
83,0.2,0.19,
84,0.2,0.24,
85,0.2,0.19,
86,0.2,0.195,
87,0.2,0.18,
88,0.2,0.18,
89,0.2,0.175,
90,0.2,0.215,
91,0.2,0.18,
92,0.2,0.2,
93,0.2,0.2,
94,0.2,0.215,
95,0.2,0.195,
96,0.2,0.27,
97,0.2,0.245,
98,0.2,0.255,
99,0.2,0.19,
100,0.2,0.195,
101,0.2,0.235,
102,0.2,0.225,
103,0.2,0.21,
104,0.2,0.195,
105,0.2,0.23,
106,0.2,0.215,
107,0.2,0.16,
108,0.2,0.205,
109,0.2,0.24,
110,0.2,0.23,
111,0.2,0.2,
112,0.2,0.21,
113,0.2,0.21,
114,0.2,0.2,
115,0.2,0.21,
116,0.2,0.19,
117,0.2,0.19,
118,0.2,0.15,
119,0.2,0.17,
120,0.2,0.19,
121,0.2,0.215,
122,0.2,0.19,
123,0.2,0.22,
124,0.2,0.145,
125,0.2,0.19,
126,0.2,0.235,
127,0.2,0.195,
128,0.2,0.16,
129,0.2,0.22,
130,0.2,0.215,
131,0.2,0.19,
132,0.2,0.21,
133,0.2,0.245,
134,0.2,0.23,
135,0.2,0.135,
136,0.2,0.185,
137,0.2,0.21,
138,0.2,0.17,
139,0.2,0.175,
140,0.2,0.28,
141,0.2,0.245,
142,0.2,0.2,
143,0.2,0.19,
144,0.2,0.19,
145,0.2,0.2,
146,0.2,0.195,
147,0.2,0.21,
148,0.2,0.22,
149,0.2,0.2,
150,0.2,0.2,
151,0.2,0.16,
152,0.2,0.225,
153,0.2,0.19,
154,0.2,0.215,
155,0.2,0.185,
156,0.2,0.185,
157,0.2,0.185,
158,0.2,0.18,
159,0.2,0.24,
160,0.2,0.235,
161,0.2,0.21,
162,0.2,0.21,
163,0.2,0.185,
164,0.2,0.185,
165,0.2,0.24,
166,0.2,0.23,
167,0.2,0.195,
168,0.2,0.265,
169,0.2,0.195,
170,0.2,0.24,
171,0.2,0.175,
172,0.2,0.155,
173,0.2,0.195,
174,0.2,0.22,
175,0.2,0.205,
176,0.2,0.185,
177,0.2,0.21,
178,0.2,0.24,
179,0.2,0.235,
180,0.2,0.195,
181,0.2,0.245,
182,0.2,0.215,
183,0.2,0.22,
184,0.2,0.215,
185,0.2,0.225,
186,0.2,0.165,
187,0.2,0.17,
188,0.2,0.205,
189,0.2,0.18,
190,0.2,0.225,
191,0.2,0.2,
192,0.2,0.245,
193,0.2,0.2,
194,0.2,0.195,
195,0.2,0.255,
196,0.2,0.22,
197,0.2,0.225,
198,0.2,0.195,
199,0.2,0.215,
200,0.2,0.18,
1,0.3,0.32,
2,0.3,0.375,
3,0.3,0.28,
4,0.3,0.245,
5,0.3,0.345,
6,0.3,0.325,
7,0.3,0.27,
8,0.3,0.3,
9,0.3,0.31,
10,0.3,0.34,
11,0.3,0.325,
12,0.3,0.285,
13,0.3,0.315,
14,0.3,0.32,
15,0.3,0.335,
16,0.3,0.305,
17,0.3,0.255,
18,0.3,0.27,
19,0.3,0.325,
20,0.3,0.31,
21,0.3,0.295,
22,0.3,0.275,
23,0.3,0.345,
24,0.3,0.375,
25,0.3,0.31,
26,0.3,0.305,
27,0.3,0.33,
28,0.3,0.295,
29,0.3,0.305,
30,0.3,0.26,
31,0.3,0.32,
32,0.3,0.325,
33,0.3,0.315,
34,0.3,0.285,
35,0.3,0.245,
36,0.3,0.325,
37,0.3,0.265,
38,0.3,0.32,
39,0.3,0.285,
40,0.3,0.315,
41,0.3,0.335,
42,0.3,0.305,
43,0.3,0.285,
44,0.3,0.315,
45,0.3,0.33,
46,0.3,0.355,
47,0.3,0.275,
48,0.3,0.29,
49,0.3,0.29,
50,0.3,0.265,
51,0.3,0.26,
52,0.3,0.305,
53,0.3,0.335,
54,0.3,0.26,
55,0.3,0.27,
56,0.3,0.295,
57,0.3,0.27,
58,0.3,0.345,
59,0.3,0.25,
60,0.3,0.24,
61,0.3,0.28,
62,0.3,0.275,
63,0.3,0.31,
64,0.3,0.355,
65,0.3,0.3,
66,0.3,0.32,
67,0.3,0.275,
68,0.3,0.27,
69,0.3,0.275,
70,0.3,0.255,
71,0.3,0.345,
72,0.3,0.305,
73,0.3,0.3,
74,0.3,0.305,
75,0.3,0.345,
76,0.3,0.315,
77,0.3,0.31,
78,0.3,0.235,
79,0.3,0.295,
80,0.3,0.295,
81,0.3,0.265,
82,0.3,0.29,
83,0.3,0.3,
84,0.3,0.25,
85,0.3,0.275,
86,0.3,0.32,
87,0.3,0.295,
88,0.3,0.33,
89,0.3,0.23,
90,0.3,0.255,
91,0.3,0.285,
92,0.3,0.31,
93,0.3,0.24,
94,0.3,0.36,
95,0.3,0.315,
96,0.3,0.32,
97,0.3,0.285,
98,0.3,0.35,
99,0.3,0.36,
100,0.3,0.265,
101,0.3,0.31,
102,0.3,0.315,
103,0.3,0.29,
104,0.3,0.345,
105,0.3,0.31,
106,0.3,0.285,
107,0.3,0.325,
108,0.3,0.335,
109,0.3,0.315,
110,0.3,0.305,
111,0.3,0.26,
112,0.3,0.335,
113,0.3,0.285,
114,0.3,0.31,
115,0.3,0.275,
116,0.3,0.3,
117,0.3,0.265,
118,0.3,0.31,
119,0.3,0.33,
120,0.3,0.295,
121,0.3,0.32,
122,0.3,0.29,
123,0.3,0.26,
124,0.3,0.33,
125,0.3,0.325,
126,0.3,0.32,
127,0.3,0.315,
128,0.3,0.39,
129,0.3,0.27,
130,0.3,0.285,
131,0.3,0.305,
132,0.3,0.295,
133,0.3,0.295,
134,0.3,0.225,
135,0.3,0.355,
136,0.3,0.305,
137,0.3,0.32,
138,0.3,0.265,
139,0.3,0.355,
140,0.3,0.275,
141,0.3,0.27,
142,0.3,0.295,
143,0.3,0.305,
144,0.3,0.315,
145,0.3,0.25,
146,0.3,0.28,
147,0.3,0.335,
148,0.3,0.245,
149,0.3,0.335,
150,0.3,0.25,
151,0.3,0.3,
152,0.3,0.33,
153,0.3,0.31,
154,0.3,0.275,
155,0.3,0.295,
156,0.3,0.31,
157,0.3,0.27,
158,0.3,0.3,
159,0.3,0.28,
160,0.3,0.32,
161,0.3,0.325,
162,0.3,0.31,
163,0.3,0.345,
164,0.3,0.25,
165,0.3,0.295,
166,0.3,0.29,
167,0.3,0.275,
168,0.3,0.325,
169,0.3,0.3,
170,0.3,0.325,
171,0.3,0.345,
172,0.3,0.335,
173,0.3,0.335,
174,0.3,0.26,
175,0.3,0.315,
176,0.3,0.265,
177,0.3,0.32,
178,0.3,0.31,
179,0.3,0.345,
180,0.3,0.33,
181,0.3,0.285,
182,0.3,0.33,
183,0.3,0.335,
184,0.3,0.325,
185,0.3,0.255,
186,0.3,0.305,
187,0.3,0.325,
188,0.3,0.265,
189,0.3,0.315,
190,0.3,0.325,
191,0.3,0.285,
192,0.3,0.265,
193,0.3,0.315,
194,0.3,0.335,
195,0.3,0.335,
196,0.3,0.3,
197,0.3,0.275,
198,0.3,0.335,
199,0.3,0.325,
200,0.3,0.295,
1,0.4,0.405,
2,0.4,0.38,
3,0.4,0.425,
4,0.4,0.375,
5,0.4,0.42,
6,0.4,0.41,
7,0.4,0.405,
8,0.4,0.455,
9,0.4,0.39,
10,0.4,0.415,
11,0.4,0.385,
12,0.4,0.375,
13,0.4,0.35,
14,0.4,0.345,
15,0.4,0.39,
16,0.4,0.365,
17,0.4,0.385,
18,0.4,0.39,
19,0.4,0.36,
20,0.4,0.415,
21,0.4,0.465,
22,0.4,0.41,
23,0.4,0.44,
24,0.4,0.425,
25,0.4,0.4,
26,0.4,0.355,
27,0.4,0.425,
28,0.4,0.435,
29,0.4,0.485,
30,0.4,0.405,
31,0.4,0.415,
32,0.4,0.395,
33,0.4,0.38,
34,0.4,0.4,
35,0.4,0.385,
36,0.4,0.37,
37,0.4,0.38,
38,0.4,0.365,
39,0.4,0.415,
40,0.4,0.415,
41,0.4,0.385,
42,0.4,0.415,
43,0.4,0.4,
44,0.4,0.46,
45,0.4,0.395,
46,0.4,0.385,
47,0.4,0.42,
48,0.4,0.43,
49,0.4,0.43,
50,0.4,0.405,
51,0.4,0.43,
52,0.4,0.37,
53,0.4,0.375,
54,0.4,0.445,
55,0.4,0.365,
56,0.4,0.425,
57,0.4,0.37,
58,0.4,0.385,
59,0.4,0.33,
60,0.4,0.42,
61,0.4,0.345,
62,0.4,0.3,
63,0.4,0.4,
64,0.4,0.485,
65,0.4,0.43,
66,0.4,0.425,
67,0.4,0.46,
68,0.4,0.42,
69,0.4,0.43,
70,0.4,0.395,
